date,sales,dollar_vol,avg_price,med_price,total_listings,month_inventory,county
2011-01-01,15,1122600,74840,50000,344.0,31.0,Anderson
2011-02-01,20,1652300,82615,66950,371.0,30.1,Anderson
2011-03-01,25,3013550,120542,92000,372.0,27.1,Anderson
2011-04-01,25,2733350,109334,115000,365.0,24.1,Anderson
2011-05-01,27,2239161,82932,70000,387.0,23.8,Anderson
2011-06-01,21,1798605,85648,78000,421.0,23.9,Anderson
2011-07-01,15,1526148,101743,82500,452.0,25.2,Anderson
2011-08-01,18,2389823,132768,73250,437.0,23.3,Anderson
2011-09-01,24,2752410,114684,101000,449.0,23.1,Anderson
2011-10-01,21,1991877,94851,89900,428.0,21.7,Anderson
2011-11-01,17,1742772,102516,100000,418.0,20.5,Anderson
2011-12-01,19,2569280,135225,91500,395.0,19.2,Anderson
2012-01-01,10,916954,91695,67850,371.0,18.4,Anderson
2012-02-01,17,2060776,121222,121900,355.0,17.8,Anderson
2012-03-01,28,5552523,198304,113068,352.0,17.5,Anderson
2012-04-01,24,2878500,119938,100750,350.0,17.4,Anderson
2012-05-01,20,3428166,171408,95450,368.0,18.9,Anderson
2012-06-01,31,3692400,119110,78000,368.0,18.1,Anderson
2012-07-01,25,2860225,114409,101000,389.0,18.4,Anderson
2012-08-01,41,3861823,94191,87000,378.0,16.4,Anderson
2012-09-01,43,5451740,126785,125000,373.0,15.1,Anderson
2012-10-01,27,3598513,133278,125000,366.0,14.5,Anderson
2012-11-01,34,4289698,126168,84250,352.0,13.2,Anderson
2012-12-01,22,2622600,119209,78450,335.0,12.5,Anderson
2013-01-01,11,878900,79900,83500,336.0,12.5,Anderson
2013-02-01,18,1998580,111032,81500,336.0,12.4,Anderson
2013-03-01,32,3088170,96505,88500,340.0,12.4,Anderson
2013-04-01,33,3737145,113247,115000,352.0,12.5,Anderson
2013-05-01,29,3521510,121431,91450,330.0,11.4,Anderson
2013-06-01,30,4174756,139159,109000,356.0,12.4,Anderson
2013-07-01,22,3943235,179238,110775,368.0,12.9,Anderson
2013-08-01,27,2325583,86133,77900,343.0,12.5,Anderson
2013-09-01,25,3352805,134112,97900,337.0,13.0,Anderson
2013-10-01,26,2552399,98169,94250,346.0,13.4,Anderson
2013-11-01,21,2291950,109140,83000,338.0,13.7,Anderson
2013-12-01,16,1376700,86044,84750,321.0,13.3,Anderson
2014-01-01,22,2386409,108473,82500,7.0,0.3,Anderson
2014-02-01,33,4296726,130204,90000,311.0,11.8,Anderson
2014-03-01,35,4572469,130642,101000,320.0,12.0,Anderson
2014-04-01,28,2764400,98729,82250,326.0,12.5,Anderson
2014-05-01,32,4843504,151360,134250,339.0,12.8,Anderson
2014-06-01,29,3543545,122191,88500,331.0,12.6,Anderson
2014-07-01,29,3125923,107790,89500,326.0,12.1,Anderson
2014-08-01,23,2162900,94039,89500,315.0,11.8,Anderson
2014-09-01,31,3864915,124675,110000,299.0,11.0,Anderson
2014-10-01,29,3966800,136786,98000,285.0,10.4,Anderson
2014-11-01,15,1729900,115327,99000,274.0,10.2,Anderson
2014-12-01,28,4737530,169198,144000,258.0,9.3,Anderson
2015-01-01,17,2239625,131743,90000,198.0,7.2,Anderson
2015-02-01,21,3131868,149137,91000,194.0,7.3,Anderson
2015-03-01,19,2760350,145282,99500,202.0,8.1,Anderson
2015-04-01,34,4274710,125727,86605,198.0,7.7,Anderson
2015-05-01,25,2860850,114434,115900,213.0,8.5,Anderson
2015-06-01,37,5295600,143124,154000,243.0,9.5,Anderson
2015-07-01,38,4550055,119738,115750,250.0,9.5,Anderson
2015-08-01,39,5089058,130489,119000,247.0,8.9,Anderson
